"id";"siglaPartido";"nome";"codOcorrencia";"tituloOcorrencia";"dataOcorrencia";"idPartidoDestino";"siglaPartidoDestino";"descricaoOcorrencia";
;"PSB*";"Partido Socialista Brasileiro";1;"Criação";"1947-08-06 00:00:00";;"PSB*";"Resultado da troca de nome do Esquerda Democrática - Resolução TSE 2130";
;"PSB*";"Partido Socialista Brasileiro";2;"Extinção";"1965-10-27 00:00:00";;;"Extinto pelo AI-2";
36895;"PSC*";"Partido Socialista Cristão";1;"Criação";"1945-09-29";36895;"PSC*";"Registro provisório pela Resolução TSE 211";
36895;"PSC*";"Partido Socialista Cristão";2;"Extinção";"1948-05-04 00:00:00.000";36895;"PSC*";"Cancelamento do registro provisório pela Resolução TSE 2869";
36834;"PSD";"Partido Social Democrático";1;"Criação";"2011-09-27 00:00:00";36834;"PSD";"Data oficial de registro. Fundação extra-oficial em 2011-03-21.";
;"PSD*";"Partido Social Democrático";1;"Criação";"1987-01-01 00:00:00";;"PSD*";"Data aproximada de fundação extra-oficial. Registro definitivo em 1991.";
;"PSD*";"Partido Social Democrático";5;"Incorporação";"2003-01-01 00:00:00";36845;"PTB";"Data aproximada.";
;"PSD**";"Partido Social Democrático";1;"Criação";"1945-10-25 00:00:00";;"PSD**";"Registro definitivo pela Resolução TSE 277. Fundação informal em 17/07/1945.";
;"PSD**";"Partido Social Democrático";2;"Extinção";"1965-10-27 00:00:00.000";;;"Extinto pelo AI-2 (art. 18)";
36835;"PSDB";"Partido da Social Democracia Brasileira";1;"Criação";"1988-06-06";36835;"PSDB";"Data de registro provisório pela Resolução TSE 14366. Registro definitivo em 24/05/1989 pela Resolução TSE 15494.";
36836;"PSDC";"Partido Social Democrata Cristão";1;"Criação";"1997-08-05 00:00:00.000";36836;"PSDC";;
36836;"PSDC";"Partido Social Democrata Cristão";3;"Alteração Nome";"2018-05-17 00:00:00.000";37902;"DC";"Alteração estatutária aceita pelo TSE em 11/05/2018";
36880;"PSdoB";"Partido Socialista do Brasil";1;"Criação";"1992-01-01 00:00:00.000";36880;"PSdoB";"Data aproximada. Obteve apenas registro provisório para eleições municipais.";
